ID;BOITE;ASSET;UPC;TITRE
92;20;GU000092;5050582047011;Out of Africa/Souvenirs D'Afrique [DVD]
93;20;GU000093;3344428052454;L'Odyssée De Pi
94;20;GU000094;3700724900637;Taken 2
95;9;GU000095;3512391550493;Genghis Khan-a La Conquete Du
96;9;GU000096;3333297908627;Da Vinci Code
97;9;GU000097;5050582811353;The Tourist
98;9;GU000098;3384442245975;Millénium 3, Le Film : La Reine Dans Le Palais Des Courants D'air
99;9;GU000099;3384442245654;Millénium 2, Le Film : La Fille Qui Rêvait D'un Bidon D'essence Et D'une Allumette
100;9;GU000100;3384442240833;Millénium, Le Film
101;9;GU000101;3700259800679;Alexandre Le Grand
102;9;GU000102;3512391454173;Droit De Passage
103;9;GU000103;5051889014072;Inception - Edition Simple
104;9;GU000104;3388330040116;Rien à déclarer
105;9;GU000105;3541351962656;STEEL SHARKS
106;9;GU000106;3388334508933;Les Choristes - Un Film De Christophe Barratier
107;9;GU000107;3344428047436;La Planète Des Singes : Les Origines - Edition Simple
108;9;GU000108;3512391155353;SAW 3D
109;9;GU000109;3475001003539;Basic
110;9;GU000110;3530941039953;SHERLOCK HOLMES
111;9;GU000111;3344428045739;Black Swan
112;9;GU000112;Aucun;Kundun
113;10;GU000113;3333297732512;Quo Vadis
114;10;GU000114;3384442077613;Une Vie Inachevée
115;10;GU000115;3760207260405;Big Bang (the)
116;10;GU000116;3700301019998;The Reef
117;10;GU000117;3512391559700;Les Trois Prochains Jours
118;10;GU000118;3700301020321;DETECTIVE DEE
119;10;GU000119;3335901510165;Le Choc Des Empires
120;10;GU000120;8717418274030;Esprits Criminels Saison 5 - Coffret 6 DVD
121;10;GU000121;3512391559946;Chemins De La Liberte (les)
122;10;GU000122;3384442251334;Case départ
123;10;GU000123;3700301022172;Drive
124;10;GU000124;3344428010546;L'auberge du sixième bonheur
125;10;GU000125;3384442248020;Que Justice Soit Faite
126;10;GU000126;34750010263010;In the Red
127;10;GU000127;3512391555603;The Expendables : Unité Spéciale
128;22;GU000128;3333973207723;Mission: Impossible - Rogue Nation [Blu-ray]
129;22;GU000129;3333973207686;Terminator Genisys
130;22;GU000130;3384442072649;Man to Man [Region 2]
131;22;GU000131;3344428059958;Exodus : Gods and Kings
132;22;GU000132;3384442267694;Jeff Panacloc Perd Le Contrle ! [DVD]
133;22;GU000133;5051889534440;Meurtres Au Paradis - Saison 3
134;22;GU000134;5051889534440;Meurtres Au Paradis - Saison 3
135;22;GU000135;3333299212722;Tomorrow (2015) ( Demain )
136;22;GU000136;8717418484170;Le Livre De La Jungle
137;22;GU000137;5051889578741;Meurtres Au Paradis - Saison 4
138;22;GU000138;3770000842029;DOMINO Le spectacle
139;22;GU000139;5051889488323;Les Moissons De L'océan
140;22;GU000140;3384442160469;Vie Sauvage - Saison 1
141;22;GU000141;3475001022479;Prédictions
142;22;GU000142;5050582405545;COLUMBO Saison 4
143;22;GU000143;Aucun1;EVEREST
144;22;GU000144;Aucun2;Seul sur Mars
145;12;GU000145;3760062466752;Le Transporteur 3 - Statham J
146;12;GU000146;7321950284115;Troie (Édition Simple)
147;12;GU000147;4006408820413;Bangkok Hilton [Region 2]
148;12;GU000148;3322069958182;Dans la vallée d'Elah
149;12;GU000149;3333297974042;Anges et Démons [Version Longue] [DVD]
150;12;GU000150;5050582224047;Ali [dition Single] [DVD]
151;12;GU000151;3384442253260;La Vérité Si Je Mens! 3
152;12;GU000152;3333973166877;Shutter Island
153;12;GU000153;8717418110147;Pirates Des Carabes, Le Secret Du Coffre Maudit [DVD]
154;12;GU000154;8717418140106;Pirates Des Caraibes 3: Jusqu'au Bout Du Monde [DVD]
155;12;GU000155;3344428034702;King Rising - Jason Stratham
156;12;GU000156;5050582041132;Horizons Lointains [DVD]
157;12;GU000157;8717418168018;There Will Be Blood
158;12;GU000158;3700259832953;James Bond : Quantum of Solace - Edition Simple
159;12;GU000159;3388330033217;Into the Wild [DVD]
160;12;GU000160;3384442172899;Survivre Avec Les Loups
161;12;GU000161;3333297664615;Pour le pire et pour le meilleur
162;12;GU000162;7321950141920;Heat
163;12;GU000163;7321950233052;Calculs meurtriers
164;11;GU000164;5050582551235;Coffret Jason Bourne - La Trilogie : La Mémoire Dans La Peau - La Mort Dans La Peau - La Vengeance Dans La Peau - Disc Bonus (boîtier Métal)
165;11;GU000165;3388330037789;Océans [Édition Limitée]
166;11;GU000166;5050582709315;Public Enemies
167;11;GU000167;5050582542035;Elizabeth: L'âGE D'or
168;11;GU000168;5414474354197;SAW V
169;11;GU000169;3700301018342;The Last Day
170;11;GU000170;3259190239890;Rich Man Poor Man
171;11;GU000171;3512391542658;Les 3 Royaumes
172;11;GU000172;3333297541442;L'attaque Du Métro 123
173;11;GU000173;3512391443528;The Code
174;11;GU000174;3259130242225;Rambo
175;11;GU000176;5050582607970;Mesrine - 1ère Partie - L'instinct De Mort
176;11;GU000175;5050582608373;Mesrine 2 : L´ennemi Public N°1
177;11;GU000177;3512391551216;SOLOMON KANE
178;11;GU000178;5051889014324;Le Choc Des Titans [DVD]
179;11;GU000179;3512391549718;La Route
180;11;GU000180;3384442128322;Apocalypto
181;5;GU000181;3512391367763;Les Marches Du Pouvoir
182;5;GU000182;3388330036874;Wolf ( Loup )
183;5;GU000183;3512391355333;Hatchi
184;5;GU000184;3760166346233;TWISTER II
185;5;GU000185;3388334501095;Et Au Milieu Coule Une Rivière
186;5;GU000186;5051889061359;Au-delà
187;5;GU000187;3700447500510;La Planète Blanche
188;5;GU000188;3475001017765;Prédictions
189;5;GU000189;3344428044411;Unstoppable
190;5;GU000190;3512391537951;John Rambo - Edition Collector [Édition Collector]
191;5;GU000191;3333297606202;2012 - Edition Simple
192;5;GU000192;3384442168182;Chambre 1408
193;5;GU000193;3333297196512;The Patriot - Le Chemin De La Libert [Version Longue] [DVD]
194;5;GU000194;3333297194457;La Chute Du Faucon Noir (Édition Simple)
195;5;GU000195;3333297195836;Les Larmes Du Soleil (Version Longue) - Édition Spéciale
196;5;GU000196;Aucun;36 Quai des Orfèvres
197;1;GU000197;7321950118700;Calme blanc
198;1;GU000198;7321910106471;Le Prestige
199;1;GU000199;3523721102046;Ennemi dans l'état
200;1;GU000200;3322069944444;POSEIDON
201;1;GU000201;5050582415124;King Kong
202;1;GU000202;3475001000460;Very Bad Things
203;1;GU000203;3476473082091;Impasse
204;1;GU000204;3475001000132;Battle Royale
205;1;GU000205;7321950115341;La couleur pourpre
206;1;GU000206;3700173207615;Duel Dans Le Pacifique
207;1;GU000207;3333973133107;Fusion, the Core
208;1;GU000208;5050582474824;Le Maître D'armes
209;1;GU000209;7321950167500;NEGOCIATEUR
210;1;GU000210;3541351962656;THE LIST
211;1;GU000211;3333297935081;Casino Royale [Édition Simple]
212;1;GU000212;3476473077769;Backflash
213;1;GU000213;3700447500091;Scorpion (Edition Simple)
214;1;GU000214;3700259829670;Stallone, Sylvester - Rocky Balboa [FR Import]
215;2;GU000215;3499550233018;Mort d'un innocent
